tournament_id,level,gender,year,team,display_name,reason,fuzzy_match,fuzzy_match_source,confidence
u20w2022,u20,w,2022,Spain,Ornella María Vignola,no linked article,,,
u20w2022,u20,w,2022,Spain,Esther Laborde,no linked article,,,
seniorw2023,senior,w,2023,Zambia,Mary Mulenga,linked article does not exist,,,
seniorw2023,senior,w,2023,Haiti,Nahomie Ambroise,linked article does not exist,,,
seniorw2023,senior,w,2023,Haiti,Esthericove Joseph,linked article does not exist,,,
seniorw2023,senior,w,2023,Haiti,Noa Ganthier,linked article does not exist,,,
seniorw2023,senior,w,2023,Haiti,Lara Larco,linked article does not exist,,,
seniorm2010,senior,m,2010,North Korea,Choe Kum-chol,no linked article,,,
seniorm2010,senior,m,2010,North Korea,Pak Chol-jin,no linked article,,,
seniorm2010,senior,m,2010,North Korea,Kim Myong-gil,no linked article,,,
seniorm2010,senior,m,2010,North Korea,Ri Kwang-hyok,no linked article,,,
seniorm2010,senior,m,2010,North Korea,Kim Kyong-il,no linked article,,,
seniorm2010,senior,m,2010,North Korea,Pak Sung-hyok,no linked article,,,
u17m1999,u17,m,1999,New Zealand,Sacha Nathu,linked article does not exist,,,
u17m1999,u17,m,1999,New Zealand,Julius Kolk,linked article does not exist,,,
u17m1999,u17,m,1999,New Zealand,Sanjay Singh,linked article does not exist,,,
u17m1999,u17,m,1999,New Zealand,Steve Turner,linked article does not exist,,,
u17m1999,u17,m,1999,New Zealand,Daniel Trent,linked article does not exist,,,
u17m1999,u17,m,1999,New Zealand,Ricky Hill,linked article does not exist,,,
u17m1999,u17,m,1999,New Zealand,Karl Budgen,linked article does not exist,,,
u17m1999,u17,m,1999,New Zealand,Sebastián Pérez,linked article does not exist,,,
u17m1999,u17,m,1999,New Zealand,Gary Bridle,linked article does not exist,,,
u17m1999,u17,m,1999,United States,Kellen Kalso,linked article does not exist,,,
u17m1999,u17,m,1999,United States,Gregory Martin,linked article does not exist,,,
u17m1999,u17,m,1999,United States,Bryan Jackson,linked article does not exist,,,
u17m1999,u17,m,1999,United States,Raúl Palomares,linked article does not exist,,,
u17m1999,u17,m,1999,Uruguay,Alvaro Meneses,linked article does not exist,,,
u17m1999,u17,m,1999,Uruguay,Rodolfo Pavia,linked article does not exist,,,
u17m1999,u17,m,1999,Uruguay,Miguel Lapolla,linked article does not exist,,,
u17m1999,u17,m,1999,Uruguay,Javier Garcia,linked article does not exist,,,
u17m1999,u17,m,1999,Uruguay,Fernando Rodríguez,linked article does not exist,,,
u17m1999,u17,m,1999,Uruguay,Gonzalo Novegil,linked article does not exist,,,
u17m1999,u17,m,1999,Uruguay,Washington Alonso,linked article does not exist,,,
u17m1999,u17,m,1999,Uruguay,Ignacio Portillo,linked article does not exist,,,
u17m1999,u17,m,1999,Poland,Marcin Rogalski,linked article does not exist,,,
u17m1999,u17,m,1999,Ghana,Maxwell Owusu,linked article does not exist,,,
u17m1999,u17,m,1999,Ghana,Emmanuel Nkrumah,linked article does not exist,,,
u17m1999,u17,m,1999,Ghana,Lawrence Kainya,linked article does not exist,,,
u17m1999,u17,m,1999,Ghana,Michael Osei,linked article does not exist,,,
u17m1999,u17,m,1999,Ghana,Nathaniel Lamptey,no linked article,,,
u17m1999,u17,m,1999,Ghana,Sumaila Abdallah,linked article does not exist,,,
u17m1999,u17,m,1999,Spain,Ernesto,linked article does not exist,,,
u17m1999,u17,m,1999,Spain,David Relaño,linked article does not exist,,,
u17m1999,u17,m,1999,Spain,Aitor Gómez,linked article does not exist,,,
u17m1999,u17,m,1999,Mexico,Adolfo Cabrera,linked article does not exist,,,
u17m1999,u17,m,1999,Mexico,Félix Grijalva,linked article does not exist,,,
u17m1999,u17,m,1999,Mexico,Julio Bracamontes,linked article does not exist,,,
u17m1999,u17,m,1999,Mexico,Juan Manuel Azuara,linked article does not exist,,,
u17m1999,u17,m,1999,Mexico,Ernesto María,linked article does not exist,,,
u17m1999,u17,m,1999,Mexico,Héctor Vallejo,linked article does not exist,,,
u17m1999,u17,m,1999,Mexico,Edgar López,linked article does not exist,,,
u17m1999,u17,m,1999,Mexico,Juan Estrada,linked article does not exist,,,
u17m1999,u17,m,1999,Mexico,Omar Aguayo,linked article does not exist,,,
u17m1999,u17,m,1999,Mexico,Gerardo Hernández,linked article does not exist,,,
u17m1999,u17,m,1999,Mexico,Gerardo Baca,linked article does not exist,,,
u17m1999,u17,m,1999,Mexico,Gustavo Ramírez,linked article does not exist,,,
u17m1999,u17,m,1999,Mexico,Julio Elías,linked article does not exist,,,
u17m1999,u17,m,1999,Mexico,Yared Yañez,linked article does not exist,,,
u17m1999,u17,m,1999,Thailand,Pimponkan Sopon,linked article does not exist,,,
u17m1999,u17,m,1999,Thailand,Wasan Sungkpurn,linked article does not exist,,,
u17m1999,u17,m,1999,Thailand,Kittikun Suwannatri,linked article does not exist,,,
u17m1999,u17,m,1999,Thailand,Preecha Pinpradub,linked article does not exist,,,
u17m1999,u17,m,1999,Thailand,Udorn Pimpak,no linked article,,,
u17m1999,u17,m,1999,Brazil,Bruno Leite,linked article does not exist,,,
u17m1999,u17,m,1999,Brazil,Ricardo,linked article does not exist,,,
u17m1999,u17,m,1999,Brazil,Wellington,linked article does not exist,,,
u17m1999,u17,m,1999,Brazil,Léo Macaé,linked article does not exist,,,
u17m1999,u17,m,1999,Australia,Shane Lockhart,linked article does not exist,,,
u17m1999,u17,m,1999,Australia,Joe Di Iorio,linked article does not exist,,,
u17m1999,u17,m,1999,Australia,Anthony Doumanis,linked article does not exist,,,
u17m1999,u17,m,1999,Australia,Matthew Milošević,linked article does not exist,,,
u17m1999,u17,m,1999,Mali,Sidi Diop,linked article does not exist,,,
u17m1999,u17,m,1999,Mali,Bamba Sylla,linked article does not exist,,,
u17m1999,u17,m,1999,Mali,Dalla Diallo,linked article does not exist,,,
u17m1999,u17,m,1999,Mali,Amadou Diallo,linked article does not exist,,,
u17m1999,u17,m,1999,Mali,Idrissa Koné,linked article does not exist,,,
u17m1999,u17,m,1999,Mali,Abdoul Traoré,linked article does not exist,,,
u17m1999,u17,m,1999,Mali,Mohamed Sidibé,linked article does not exist,,,
u17m1999,u17,m,1999,Mali,Kalilou Doumbia,linked article does not exist,,,
u17m1999,u17,m,1999,Mali,Youssouf Simpara,linked article does not exist,,,
u17m1999,u17,m,1999,Germany,Jan Schlösser,no linked article,,,
u17m1999,u17,m,1999,Germany,Lars Finke,linked article does not exist,,,
u17m1999,u17,m,1999,Germany,Hannes Wilking,linked article does not exist,,,
u17m1999,u17,m,1999,Germany,Stefan Beckert,linked article does not exist,,,
u17m1999,u17,m,1999,Germany,Daniel Niemann,linked article does not exist,,,
u17m1999,u17,m,1999,Jamaica,Keith Wilson,no linked article,,,
u17m1999,u17,m,1999,Jamaica,Sheldon Battiste,linked article does not exist,,,
u17m1999,u17,m,1999,Jamaica,Alex Thomas,linked article does not exist,,,
u17m1999,u17,m,1999,Jamaica,Keveral Stewart,linked article does not exist,,,
u17m1999,u17,m,1999,Jamaica,Shane Stevens,linked article does not exist,,,
u17m1999,u17,m,1999,Jamaica,Loren Sailsman,linked article does not exist,,,
u17m1999,u17,m,1999,Jamaica,Reinaldo Stewart,linked article does not exist,,,
u17m1999,u17,m,1999,Jamaica,Anthony Bennett,linked article does not exist,,,
u17m1999,u17,m,1999,Jamaica,Eshaya Bryan,linked article does not exist,,,
u17m1999,u17,m,1999,Jamaica,Craig Gordon,linked article does not exist,,,
u17m1999,u17,m,1999,Jamaica,Allien Whitthker,linked article does not exist,,,
u17m1999,u17,m,1999,Jamaica,Kingsley Brown,linked article does not exist,,,
u17m1999,u17,m,1999,Jamaica,Dwayne Richards,linked article does not exist,,,
u17m1999,u17,m,1999,Jamaica,Kevin King,no linked article,,,
u17m1999,u17,m,1999,Jamaica,Dane Chambers,linked article does not exist,,,
u17m1999,u17,m,1999,Jamaica,Deshaun Woolery,linked article does not exist,,,
u17m1999,u17,m,1999,Burkina Faso,Jose Yameogo,linked article does not exist,,,
u17m1999,u17,m,1999,Burkina Faso,Aboubacar Sanou,linked article does not exist,,,
u17m1999,u17,m,1999,Burkina Faso,Charles Pafadnam,linked article does not exist,,,
u17m1999,u17,m,1999,Burkina Faso,Siaka Sanou,linked article does not exist,,,
u17m1999,u17,m,1999,Burkina Faso,Ibrahim Kaboré,linked article does not exist,,,
u17m1999,u17,m,1999,Burkina Faso,Issaka Ouedraogo,linked article does not exist,,,
u17m1999,u17,m,1999,Burkina Faso,Alhassan Gambo,linked article does not exist,,,
u17m1999,u17,m,1999,Burkina Faso,Gaston Rouamba,linked article does not exist,,,
u17m1999,u17,m,1999,Burkina Faso,Jean Kaboré,linked article does not exist,,,
u17m1999,u17,m,1999,Paraguay,Víctor Melgarejo,linked article does not exist,,,
u17m1999,u17,m,1999,Paraguay,Milner Farina,linked article does not exist,,,
